iteration	commit	altitude	hypothesis	composite_ns_per_byte	composite_ratio	ci_lo	ci_hi	per_arm	cold_start_ns	ipc	instructions	verdict	reason
0	fb48720	harness	H0 baseline + A/A	133.5764	0.9994	0.9909	1.0085	adversarial_long_piece=0.9999[0.9997,1.0003];ascii_prose=0.9913[0.9708,1.0091];ascii_prose_count=0.9935[0.9731,1.0136];cjk=1.0009[0.9969,1.0047];code=0.9936[0.9728,1.0099];code_count=1.0044[0.9921,1.0174];mixed_unicode=1.0052[0.9997,1.0118];numeric=1.0059[0.9962,1.0173];short_strings=0.9989[0.9827,1.0115];whitespace_heavy=1.0004[0.9962,1.0046]	27555088	3.479	9.105e9	AA_OK	Phase 0 harness committed; A/A within 1% on composite and every arm
2	f41a988	A	H1 hand-written scanner replaces fancy-regex	22.0555	0.1647	0.1638	0.1655	adversarial_long_piece=0.9983[0.9975,0.9992];ascii_prose=0.0769[0.0757,0.0784];ascii_prose_count=0.0768[0.0758,0.0785];cjk=0.6055[0.6035,0.6076];code=0.0536[0.0530,0.0543];code_count=0.0535[0.0533,0.0537];mixed_unicode=0.2203[0.2195,0.2210];numeric=0.1231[0.1225,0.1236];short_strings=0.3009[0.2996,0.3019];whitespace_heavy=0.1756[0.1742,0.1770]	9456766	3.224	2.966e+09	KEEP	composite 133.58->22.06 (0.165 [0.164,0.166]); every arm improves; cold start 27.6->9.5 ms; fancy-regex now dev-dep only
3	5a2d2a5	A	H2 in-crate BPE (2-byte table, scratch, direct output)	18.0772	0.8154	0.8118	0.8183	adversarial_long_piece=0.9113[0.9112,0.9113];ascii_prose=0.8964[0.8889,0.9023];ascii_prose_count=0.8930[0.8833,0.9012];cjk=0.7513[0.7469,0.7569];code=0.7665[0.7615,0.7715];code_count=0.7639[0.7597,0.7681];mixed_unicode=0.7025[0.7008,0.7041];numeric=0.7451[0.7410,0.7491];short_strings=0.8407[0.8388,0.8430];whitespace_heavy=0.9196[0.9166,0.9221]	9957022	3.101	2.577e+09	KEEP	22.06->18.08 (0.815 [0.812,0.818]); all arms improve 8-30%; tiktoken-rs now dev-dep only
4	a38967a	A	H3 heap merge engine for pieces > 64 B	13.8045	0.7662	0.7643	0.7683	adversarial_long_piece=0.0833[0.0830,0.0835];ascii_prose=0.9776[0.9710,0.9858];ascii_prose_count=0.9720[0.9685,0.9752];cjk=0.9495[0.9464,0.9525];code=0.9515[0.9486,0.9548];code_count=0.9497[0.9463,0.9530];mixed_unicode=0.9805[0.9744,0.9873];numeric=0.9615[0.9594,0.9637];short_strings=0.9948[0.9926,0.9970];whitespace_heavy=1.0958[1.0897,1.1036]	9720145	2.678	7.189e+08	DISCARD	composite 0.766 [0.764,0.768] but whitespace_heavy regressed 1.096 [1.090,1.104] > 1.03 rule; adversarial 0.083
5	0e20802	A	H3b heap merge engine above 192 B	13.6816	0.7587	0.7574	0.7599	adversarial_long_piece=0.0833[0.0829,0.0838];ascii_prose=0.9787[0.9765,0.9806];ascii_prose_count=0.9747[0.9719,0.9775];cjk=0.9769[0.9749,0.9790];code=0.9470[0.9401,0.9521];code_count=0.9479[0.9402,0.9556];mixed_unicode=0.9773[0.9752,0.9798];numeric=0.9611[0.9543,0.9686];short_strings=0.9965[0.9943,0.9988];whitespace_heavy=0.9694[0.9650,0.9736]	9732670	2.718	7.33e+08	KEEP	18.08->13.68 (0.759 [0.757,0.760]); adversarial 1233->103 ns/B (0.083); no arm regresses
6	946f547	A	H7 inline u64 keys (FxHashMap<u64>) for 1..=7-byte tokens	19.9444	1.4578	1.4569	1.4587	adversarial_long_piece=1.0969[1.0946,1.0995];ascii_prose=2.1592[2.1564,2.1619];ascii_prose_count=2.1631[2.1609,2.1653];cjk=1.1753[1.1741,1.1765];code=1.4801[1.4768,1.4836];code_count=1.4828[1.4788,1.4867];mixed_unicode=1.4126[1.4091,1.4157];numeric=1.3187[1.3137,1.3235];short_strings=1.3037[1.3019,1.3053];whitespace_heavy=1.3510[1.3476,1.3545]	17121547	2.187	8.528e+08	DISCARD	composite 1.458 [1.457,1.459]; ascii_prose 2.16x slower; cold start 1.75x
7	297cdf2	A	H7b inline u64 keys + splitmix64 hasher	13.9293	1.0161	1.0144	1.0179	adversarial_long_piece=1.0239[1.0153,1.0317];ascii_prose=1.0570[1.0562,1.0579];ascii_prose_count=1.0578[1.0556,1.0601];cjk=0.9503[0.9487,0.9520];code=0.9988[0.9955,1.0021];code_count=1.0025[0.9977,1.0064];mixed_unicode=1.0544[1.0528,1.0559];numeric=0.9494[0.9458,0.9530];short_strings=0.9932[0.9905,0.9962];whitespace_heavy=1.0835[1.0784,1.0878]	15745015	2.778	7.873e+08	DISCARD	composite 1.016 [1.014,1.018]; cjk/numeric -5% but ascii_prose/mixed +5.5%, whitespace +8%; cold start 1.6x (second 65k-entry table build)
8	cacbe7a	A	H7c open-addressing inline-key table + tag bytes for 1..=7-byte tokens	15.4103	1.1283	1.1241	1.1327	adversarial_long_piece=0.9798[0.9736,0.9859];ascii_prose=1.1749[1.1691,1.1823];ascii_prose_count=1.1781[1.1708,1.1859];cjk=1.2763[1.2756,1.2771];code=0.9734[0.9618,0.9855];code_count=0.9796[0.9679,0.9917];mixed_unicode=1.1198[1.1143,1.1237];numeric=1.2148[1.2082,1.2206];short_strings=1.2227[1.2177,1.2266];whitespace_heavy=1.2182[1.2104,1.2288]	15391656	2.303	7.313e+08	DISCARD	composite 1.128 [1.124,1.133]; branch-miss 1.65->2.87%, cache-misses 2x vs FxHashMap<Vec<u8>>; code -2.5% only arm to gain
9	6c4b943	C	H9 SWAR 8-byte ASCII class-run scan	12.8008	0.9356	0.9334	0.9378	adversarial_long_piece=0.9842[0.9788,0.9899];ascii_prose=0.8351[0.8325,0.8379];ascii_prose_count=0.8371[0.8355,0.8386];cjk=1.0062[1.0024,1.0096];code=0.9070[0.9029,0.9114];code_count=0.9073[0.9042,0.9105];mixed_unicode=1.0078[1.0048,1.0107];numeric=0.9548[0.9515,0.9579];short_strings=0.9908[0.9890,0.9930];whitespace_heavy=0.9464[0.9405,0.9523]	9942495	2.773	6.825e+08	KEEP	13.68->12.80 (0.936 [0.933,0.938]); ascii_prose 0.835, code 0.907; cjk/mixed +0.6-0.8% within rule (first-word check cost on non-ASCII)
10	c51ac1f	B	H11 inline fixed-width key compare (TokenKey/Span, no memcmp)	13.3796	1.0434	1.0408	1.0456	adversarial_long_piece=1.0235[1.0196,1.0269];ascii_prose=0.9613[0.9576,0.9651];ascii_prose_count=0.9595[0.9556,0.9634];cjk=1.1212[1.1180,1.1242];code=0.9834[0.9779,0.9900];code_count=0.9815[0.9777,0.9852];mixed_unicode=1.0679[1.0646,1.0701];numeric=1.0273[1.0260,1.0287];short_strings=1.1033[1.1004,1.1052];whitespace_heavy=1.2368[1.2322,1.2441]	13261630	2.557	7.282e+08	DISCARD	composite 1.043 [1.041,1.046]; ascii_prose 0.961 but cjk 1.121, short_strings 1.103
11	6ea5804	B	H12 carry token ranks through merge (no id-pass lookups)	12.7165	0.9939	0.9884	1.0001	adversarial_long_piece=1.0123[1.0064,1.0183];ascii_prose=0.9895[0.9822,0.9944];ascii_prose_count=0.9881[0.9796,0.9955];cjk=0.9822[0.9785,0.9847];code=0.9766[0.9683,0.9848];code_count=0.9762[0.9682,0.9837];mixed_unicode=0.9890[0.9837,0.9932];numeric=0.9804[0.9763,0.9837];short_strings=0.9607[0.9581,0.9634];whitespace_heavy=1.0891[1.0618,1.1436]	10211818	2.741	7.174e+08	DISCARD	composite 0.994 [0.988,1.000] fails CI<1 and whitespace_heavy 1.089 [1.062,1.144] > 1.03; short_strings 0.961, cjk 0.982
12	fc93815	C	H13 two-bit BMP class table + hoisted OnceLock read	12.2486	0.9537	0.9496	0.9567	adversarial_long_piece=1.0047[1.0016,1.0078];ascii_prose=0.9523[0.9432,0.9585];ascii_prose_count=0.9505[0.9406,0.9580];cjk=0.9352[0.9327,0.9381];code=0.9245[0.9159,0.9307];code_count=0.9238[0.9164,0.9292];mixed_unicode=0.9045[0.9020,0.9073];numeric=0.9766[0.9727,0.9807];short_strings=0.9729[0.9709,0.9752];whitespace_heavy=0.9974[0.9895,1.0043]	10632598	2.642	6.849e+08	KEEP	12.80->12.25 (0.954 [0.950,0.957]); mixed 0.905, cjk 0.935, code 0.925; cold +0.7 ms (16 KiB table build, 65k class_from_tables calls)
13	612813f	A	H5 build.rs-decoded vocabulary blob + BMP table	12.2579	1.0015	1.0000	1.0029	adversarial_long_piece=0.9964[0.9915,1.0003];ascii_prose=1.0017[0.9998,1.0033];ascii_prose_count=1.0023[1.0010,1.0035];cjk=0.9935[0.9872,0.9984];code=0.9936[0.9893,0.9971];code_count=0.9953[0.9920,0.9984];mixed_unicode=1.0070[1.0033,1.0095];numeric=1.0132[1.0109,1.0154];short_strings=0.9947[0.9918,0.9982];whitespace_heavy=1.0176[1.0084,1.0314]	3009941	2.442	6.017e+08	keep (simpler)	NEUTRAL 1.0015 [1.0000,1.0029], no arm >1.03; cold start 10.7->3.0 ms (0.28); base64 leaves the runtime dependency graph (build-dep only); hash keys borrow the blob
14	f71496a	B	H6 output Vec::with_capacity(len/3)	12.0771	0.9866	0.9855	0.9876	adversarial_long_piece=0.9999[0.9951,1.0046];ascii_prose=0.9966[0.9902,1.0006];ascii_prose_count=0.9992[0.9982,1.0001];cjk=1.0000[0.9980,1.0023];code=0.9897[0.9830,0.9951];code_count=0.9940[0.9910,0.9972];mixed_unicode=0.9847[0.9841,0.9852];numeric=1.0006[0.9988,1.0030];short_strings=0.9079[0.9061,0.9099];whitespace_heavy=0.9972[0.9947,1.0006]	3011811	2.357	5.649e+08	KEEP	12.26->12.08 (0.987 [0.986,0.988]); short_strings 0.908 (one alloc instead of 2-3 per call); no arm >1.0
15	(prescreen, not committed)	B	H14a 4-lane u64 min in merge_scan rescan					whitespace_heavy cycles 1.00; cjk 1.04; short_strings 1.03; numeric 1.01 (perf stat, 40 iters)				discard (prescreen)	more instructions per element; cmov chain already ~1 cycle/element
16	(prescreen, not committed)	B	H14b SoA pair-rank stream for merge_scan					whitespace_heavy cycles 1.08; cjk 1.07; short_strings 1.07; numeric 1.05 (perf stat, 40 iters)				discard (prescreen)	second Vec::remove per merge costs more than the narrower min scan saves
17	1cf3cc5	A	H3c heap threshold 40 B for non-ASCII-leading pieces	11.8418	0.9819	0.9795	0.9850	adversarial_long_piece=1.0048[1.0012,1.0087];ascii_prose=0.9722[0.9685,0.9765];ascii_prose_count=0.9761[0.9690,0.9874];cjk=0.9257[0.9241,0.9274];code=0.9771[0.9737,0.9804];code_count=0.9817[0.9747,0.9917];mixed_unicode=0.9901[0.9883,0.9921];numeric=0.9887[0.9870,0.9903];short_strings=1.0073[1.0053,1.0088];whitespace_heavy=0.9973[0.9955,0.9995]	3044130	2.311	5.638e+08	KEEP	12.08->11.84 (0.982 [0.980,0.985]); cjk 0.926; short_strings 1.007 (extra byte test) within rule
18	(prescreen, not committed)	A	H4 count-only path (Sink trait, then const-generic COUNT_ONLY)					ascii_prose_count cycles 1.04-1.14; encode arms ALSO +9-16% (codegen of the shared merge loop changed); cjk 1.00-1.05				discard (prescreen)	skipping the final per-token rank_of saves too little: ASCII pieces are mostly whole-token hits with no merge; and both generic shapes pessimized the encode path
19	8a3bc17	A	H7d hashbrown HashTable, inline packed u64 keys for 3..=7-byte tokens	10.5294	0.8841	0.8742	0.8898	adversarial_long_piece=1.0238[1.0183,1.0293];ascii_prose=0.7394[0.7383,0.7405];ascii_prose_count=0.7393[0.7384,0.7401];cjk=0.9496[0.9466,0.9519];code=0.8788[0.8774,0.8803];code_count=0.8787[0.8767,0.8802];mixed_unicode=0.9670[0.9319,0.9864];numeric=0.8755[0.8449,0.8919];short_strings=0.9471[0.9461,0.9479];whitespace_heavy=0.8868[0.8526,0.9102]	2750904	2.226	5.124e+08	KEEP	11.84->10.53 (0.884 [0.874,0.890]); ascii_prose 0.739, code 0.879, numeric 0.876; cold 3.0->2.75 ms (single-pass build); +1 runtime dep (hashbrown, already in lockfile via std)
20	(prescreen, not committed)	B	H15 12-byte ShortEntry (u32 key halves) to shrink the short table to 768 KiB					ascii_prose cycles 1.00; code 0.98; numeric 1.00; short 0.99; cjk 1.01 (perf stat, 40 iters)				discard (prescreen)	no measurable change: the table's hot subset already fits cache; entry size is not the limiter
21	b11b45f	C	H16 inline(always) rank_of + inline encode_piece	9.6717	0.9211	0.9195	0.9228	adversarial_long_piece=0.9419[0.9408,0.9430];ascii_prose=0.9148[0.9135,0.9160];ascii_prose_count=0.9145[0.9134,0.9160];cjk=0.9040[0.8965,0.9103];code=0.8888[0.8864,0.8919];code_count=0.8894[0.8850,0.8960];mixed_unicode=0.9252[0.9196,0.9319];numeric=0.9322[0.9297,0.9352];short_strings=0.9509[0.9490,0.9529];whitespace_heavy=0.9523[0.9439,0.9617]	2688694	2.599	6.088e+08	KEEP	10.53->9.67 (0.921 [0.920,0.923]); every arm 0.89-0.95
22	(measurement only, no commit)	D	H10 fat LTO + codegen-units=1 (bench-only profile override)					cycles: ascii_prose 1.03; code 1.02; cjk 0.97; short 0.99; numeric 1.03; whitespace 0.99 (perf stat, 40 iters)				report (no change)	mixed +-3%; no case for asking to change the workspace release profile; recorded as a recommendation only
23	(prescreen, not committed)	C	H9b SSE2 16-byte class-run scan ahead of the 8-byte SWAR step					cycles: ascii_prose 1.06; code 1.06; numeric 1.03; short 1.03; cjk 1.01; whitespace 1.01 (perf stat, 40 iters)				discard (prescreen)	pieces average 2.5-7.5 bytes, so a 16-byte probe rarely completes and its setup (5 compares + movemask + an extra branch) costs more than the SWAR word it replaces; SIMD only pays on long single-class runs, which the heap arm already handles
24	a1f46c4	A	H7e inline u128 keys for 8..=15-byte tokens	9.3153	0.9631	0.9617	0.9644	adversarial_long_piece=0.9945[0.9919,0.9973];ascii_prose=0.9295[0.9282,0.9310];ascii_prose_count=0.9299[0.9277,0.9317];cjk=0.9800[0.9782,0.9818];code=0.9608[0.9578,0.9640];code_count=0.9618[0.9588,0.9648];mixed_unicode=0.9820[0.9800,0.9839];numeric=0.9762[0.9728,0.9785];short_strings=0.9805[0.9770,0.9845];whitespace_heavy=0.9387[0.9353,0.9423]	3221856	2.082	4.225e+08	KEEP	9.67->9.32 (0.963 [0.962,0.964]); ascii_prose 0.930, whitespace 0.939; cold 2.75->3.22 ms (+16%, within 20% budget vs baseline 2.6 ms? no: guard compares to Phase-0 baseline 26 ms, fine)
25	a1f46c4	harness	A/A control (iteration 25 checkpoint)	9.3167	0.9988	0.9971	1.0002	adversarial_long_piece=1.0003[0.9973,1.0037];ascii_prose=0.9979[0.9960,0.9992];ascii_prose_count=0.9984[0.9965,1.0000];cjk=0.9931[0.9797,1.0000];code=0.9989[0.9978,1.0003];code_count=0.9992[0.9983,1.0002];mixed_unicode=1.0008[0.9987,1.0031];numeric=0.9991[0.9973,1.0005];short_strings=0.9990[0.9955,1.0019];whitespace_heavy=1.0014[1.0003,1.0024]	3243756	2.090	4.224e+08	AA_OK	composite 0.9988 [0.9971,1.0002]; every arm within 0.7% of 1.0
26	(prescreen, not committed)	B	H14c two-pass min + position() in merge_scan rescan					cycles: ascii 0.98 code 0.96 numeric 0.96 but short 1.07 cjk 1.09 whitespace 1.09 (perf stat)				discard (prescreen)	the second pass costs more than the removed cmov on the piece lengths that dominate cjk/whitespace; the fused loop is already near 1 cycle/element
27	1d11abc	C	H17 ASCII-lead fast path in piece_end	9.2111	0.9889	0.9879	0.9896	adversarial_long_piece=0.9996[0.9972,1.0023];ascii_prose=0.9857[0.9841,0.9874];ascii_prose_count=0.9867[0.9849,0.9885];cjk=1.0029[0.9971,1.0104];code=0.9676[0.9666,0.9686];code_count=0.9666[0.9653,0.9680];mixed_unicode=0.9944[0.9930,0.9957];numeric=0.9989[0.9978,1.0000];short_strings=0.9975[0.9969,0.9982];whitespace_heavy=0.9898[0.9889,0.9908]	3199836	2.209	4.734e+08	KEEP	9.32->9.21 (0.989 [0.988,0.990]); code 0.968, ascii 0.986; cjk 1.003 within CI
28	025f383	B	H18 thread-local Scratch reused across calls	9.3057	1.0076	1.0028	1.0115	adversarial_long_piece=1.0296[1.0265,1.0338];ascii_prose=1.0048[1.0017,1.0088];ascii_prose_count=1.0052[1.0027,1.0084];cjk=1.0188[1.0145,1.0232];code=1.0022[1.0001,1.0044];code_count=1.0019[0.9989,1.0049];mixed_unicode=1.0024[0.9850,1.0143];numeric=1.0196[1.0038,1.0297];short_strings=0.9374[0.9331,0.9419];whitespace_heavy=1.0583[1.0470,1.0664]	3207611	2.074	4.22e+08	DISCARD	composite 1.008 [1.003,1.012]; short_strings 0.937 but whitespace_heavy 1.058, cjk 1.019, adversarial 1.030
29	(prescreen, not committed)	B	H18b Cell::take/set thread-local Scratch (plain local in the loop)					cycles: short 0.95 but whitespace 1.10, cjk 1.04, numeric 1.04 (perf stat)				discard (prescreen)	same shape as it. 28 with no indirection in the loop, so the loss is not the RefCell; instructions are flat while cycles rise on long-piece arms, which points at code layout/alignment of merge_scan shifting. Not pursued further
30	(prescreen, not committed)	A	H8 direct-mapped piece->ids cache (4096 x 32 B, per call Scratch)					cycles: ascii 0.97, code 0.97, mixed 0.82, whitespace 0.97, but numeric 1.09, cjk 1.03, short_strings 5.6x (128 KiB zeroed per call)				discard (prescreen)	runbook rule: discard unless short_strings and code both benefit; a cross-call cache needs the thread-local scratch that iterations 28-29 showed costs 4-10% on long-piece arms, and the win on this corpus is inflated by its ~600-word vocabulary (overfit risk)
31	(prescreen, not committed)	C	H19 split class_at astral path (skip the BMP branch for 2-3 byte leads)					cycles within +-2% on every arm across two runs				discard (prescreen)	no signal; branch was already well predicted
32	f54d2b9	B	H20 packed u64 heap key	8.7312	0.9492	0.9477	0.9507	adversarial_long_piece=0.6286[0.6225,0.6386];ascii_prose=0.9999[0.9974,1.0026];ascii_prose_count=1.0000[0.9976,1.0025];cjk=0.9238[0.9183,0.9313];code=0.9994[0.9925,1.0042];code_count=1.0018[0.9990,1.0042];mixed_unicode=1.0010[0.9997,1.0021];numeric=1.0088[1.0068,1.0106];short_strings=0.9970[0.9960,0.9983];whitespace_heavy=1.0143[1.0107,1.0192]	3221022	2.675	5.473e+08	KEEP	9.21->8.73 (0.949 [0.948,0.951]); adversarial 0.629, cjk 0.924; whitespace 1.014 within rule
33	556cae4	A	H3d heap thresholds 128/24 B	8.7718	1.0041	1.0027	1.0055	adversarial_long_piece=1.0000[0.9939,1.0077];ascii_prose=0.9989[0.9971,1.0010];ascii_prose_count=0.9997[0.9974,1.0020];cjk=0.9830[0.9810,0.9851];code=1.0000[0.9988,1.0014];code_count=1.0007[0.9990,1.0024];mixed_unicode=0.9985[0.9967,1.0002];numeric=1.0016[0.9986,1.0063];short_strings=1.0609[1.0582,1.0637];whitespace_heavy=0.9994[0.9976,1.0011]	3228541	2.136	4e+08	DISCARD	composite 1.004 [1.003,1.006]; cjk 0.983 but short_strings 1.061 (short-string pieces of 24-40 B non-ASCII now take the heap, whose fixed setup cost dominates there)
34	(prescreen, not committed)	B	H21 bucket queue by rank (2-level bitmap) replacing BinaryHeap in merge_heap					cycles: cjk 1.07, whitespace 0.99, short_strings 3.9x (65536 Vecs built per Scratch), adversarial 29x (all 64k initial pairs share one rank -> O(n) min scan per pop)				discard (prescreen)	a bucket queue needs per-bucket position order to keep leftmost-tie semantics, which degenerates on uniform runs; the binary heap already handles that in O(log n)
35	(prescreen, not committed)	A	H4b count-only path as a second non-generic loop (ids cleared per piece)					cycles: ascii 1.09, ascii_count 1.12, code 1.10, code_count 1.12, short 1.01; instructions +14%				discard (prescreen)	a second call site of the #[inline] encode_piece changes inlining for both sites and both paths lose; the count arms track encode within 0.5% anyway (the Vec is not the cost)
